房源编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
BAOJI2342465338760757248,宝鸡,金台区,上马营,联盟花园南区,124㎡,整租,南/北,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,17层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2500022185058639872,宝鸡,渭滨区,清姜,凌云集团八现场社区,121㎡,整租,南,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2501303398482591744,宝鸡,金台区,大庆路,电机段高层住宅小区,126㎡,整租,南/北,1300元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,33层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2537663239794196480,宝鸡,金台区,上马营,联盟花园北区,105㎡,整租,南,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,一般下班后可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2541251160925274112,宝鸡,金台区,大庆路,方豪花园,94㎡,整租,南,1300元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2546190956978241536,宝鸡,渭滨区,姜谭路,铭尚·西城印象,92㎡,整租,南,1400元/月,,2室,2厅,1卫,2020-08-01,暂无数据,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2558467700221550592,宝鸡,金台区,上马营,东风花园,98㎡,整租,东,1200元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2554285725042614272,宝鸡,金台区,上马营,明苑小区,100㎡,整租,南/北,1100元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2491052244393533440,宝鸡,渭滨区,火车站,滨河花园(渭滨区),90㎡,整租,南/北,1400元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,24层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2491168765262708736,宝鸡,金台区,上马营,联盟二组小区,94㎡,整租,南/北,1300元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2492632796494045184,宝鸡,金台区,陈仓园,陈仓园,91㎡,整租,南,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2512833831623999488,宝鸡,金台区,上马营,联盟二组小区,94㎡,整租,西南,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2523728386619621376,宝鸡,金台区,三迪,盛世观邸,105㎡,整租,南,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,33层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2551936174374010880,宝鸡,金台区,上马营,宝鸡卷烟厂家属院,96㎡,整租,西南,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,17层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2566695485007986688,宝鸡,金台区,三迪,三迪国际公寓,41㎡,整租,南/北,1300元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,27层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2563793023050203136,宝鸡,渭滨区,高新区,阳光上东,82㎡,整租,南/北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,16层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2486953035884920832,宝鸡,渭滨区,高新区,万润国际广场,40㎡,整租,南,1500元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,25层,有,暂无数据,民水,商电,有,集中供暖
BAOJI2559155332874248192,宝鸡,金台区,群众路,锦绣新城B区,96㎡,整租,南/北,1300元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,2层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2546159076426129408,宝鸡,金台区,群众路,锦绣新城B区,106㎡,整租,南/北,1200元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2500750496940433408,宝鸡,金台区,火车站,寶隆華錦,45㎡,整租,南,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2561659550742609920,宝鸡,金台区,三迪,兰宝小区,99㎡,整租,南/北,1300元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,租用车位,民水,民电,有,集中供暖
BAOJI2498431773030498304,宝鸡,金台区,新福路,宝鸡教育学院長寿住宅小区,113㎡,整租,南/西/北,1200元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2537653867689558016,宝鸡,金台区,三迪,光明小区A区,98㎡,整租,南,1300元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,33层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2407735063715250176,宝鸡,金台区,陈仓园,轩苑世家三期,97㎡,整租,南,1230元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,33层,有,租用车位,民水,民电,有,集中供暖
BAOJI2491191161285787648,宝鸡,金台区,新福路,金利苑二期,94㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2524652400229220352,宝鸡,金台区,新福路,福临小区廉住房三区,78㎡,整租,南/北,1000元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2475146814396047360,宝鸡,渭滨区,卧龙寺,秦岭家园,84㎡,整租,南,1400元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,33层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2489805303088939008,宝鸡,金台区,大庆路,万祥尚锦,97㎡,整租,南,1200元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,28层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2502027848098267136,宝鸡,渭滨区,清姜,凌云集团八现场社区,92㎡,整租,南/北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2523859181434306560,宝鸡,金台区,上马营,联盟三组住宅楼,100㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,2年以内,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2524430839702896640,宝鸡,金台区,大庆路,戴家湾小区,90㎡,整租,南,1200元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2527597893540921344,宝鸡,金台区,大庆路,雅典丽舍小区,81㎡,整租,南,1200元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2536220293379129344,宝鸡,渭滨区,高新区,樸西佳苑,95㎡,整租,南,1500元/月,,2室,2厅,1卫,随时入住,3年以内,需提前预约,高楼层,24层,无,租用车位,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2541239238741983232,宝鸡,渭滨区,高新区,髙新佳园二期,83㎡,整租,南,1500元/月,,2室,1厅,1卫,随时入住,暂无数据,一般下班后可看,低楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2548474942144651264,宝鸡,渭滨区,高新区,阳光上东,108㎡,整租,南/北,1500元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,11层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2553580840261533696,宝鸡,金台区,大庆路,工农新苑,102㎡,整租,北,1300元/月,季付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,33层,有,租用车位,民水,民电,有,集中供暖
BAOJI2550477736741175296,宝鸡,金台区,大庆路,恒源小区,116㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2502027848098267136,宝鸡,渭滨区,清姜,凌云集团八现场社区,92㎡,整租,南/北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2544747281391812608,宝鸡,金台区,大庆路,戴家湾小区,85㎡,整租,南/北,1300元/月,半年付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
BAOJI2534046511361433600,宝鸡,金台区,大庆路,方豪花园,98㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2559951781383634944,宝鸡,渭滨区,高新区,臻和天下,106㎡,整租,西南,1350元/月,半年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,27层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2482386998028419072,宝鸡,渭滨区,高新区,阳光上东,116㎡,整租,东,1400元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2491795982245961728,宝鸡,金台区,大庆路,戴家湾小区,90㎡,整租,东南,1200元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,22层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2560192453466390528,宝鸡,渭滨区,高新区,水木清華,61㎡,整租,南/北,1500元/月,半年付价,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,16层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2523178264835391488,宝鸡,渭滨区,高新区,宏运警苑,39㎡,整租,东,1350元/月,,1室,0厅,1卫,随时入住,1年以内,需提前预约,高楼层,13层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2539838829448404992,宝鸡,金台区,三迪,东方大厦,41㎡,整租,东,1300元/月,半年付价,1室,0厅,1卫,随时入住,1年以内,需提前预约,中楼层,17层,有,暂无数据,民水,民电,暂无数据,集中供暖
BAOJI2535302519031611392,宝鸡,金台区,三迪,轩苑公寓,49㎡,整租,南,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,27层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2520764050380963840,宝鸡,渭滨区,桥南,绿城·逸水院,93㎡,整租,南,1500元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2524385817514737664,宝鸡,金台区,大庆路,恒源小区,117㎡,整租,南/北,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2533827167918497792,宝鸡,金台区,西关,宝中路2号院,60㎡,整租,南/北,1300元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2502702597182595072,宝鸡,渭滨区,桥南,中国中铁一局五公司家属院,109㎡,整租,南/北,1500元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,24层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2516617854502043648,宝鸡,金台区,群众路,摩天院,108㎡,整租,东/西,1300元/月,季付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2525300612095557632,宝鸡,金台区,新福路,轩苑盛世二期B区,98㎡,整租,南/北,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,33层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2531663002466795520,宝鸡,渭滨区,高新区,水韵江南,120㎡,整租,南,1400元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2512970051041370112,宝鸡,渭滨区,火车站,香榭里街区,98㎡,整租,南/北,1500元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,27层,有,租用车位,民水,民电,有,集中供暖
BAOJI2522294898653134848,宝鸡,渭滨区,高新区,髙新佳园二期,103㎡,整租,南/北,1500元/月,半年付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2493242984787607552,宝鸡,金台区,上马营,明苑小区,120㎡,整租,南,1200元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2494681603344187392,宝鸡,金台区,群众路,凌云·锦绣新城,93㎡,整租,南,1200元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2493990891267047424,宝鸡,金台区,三迪,三迪家居广场,73㎡,整租,南,1200元/月,,1室,1厅,0卫,随时入住,暂无数据,需提前预约,高楼层,16层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2528232604604841984,宝鸡,渭滨区,高新区,阳光上东,115㎡,整租,南,1400元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2530897365951586304,宝鸡,渭滨区,火车站,彩虹国际,90㎡,整租,南,1500元/月,月付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,23层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2546914350090682368,宝鸡,金台区,三迪,三迪国际公寓,55㎡,整租,南/北,1300元/月,,1室,1厅,0卫,随时入住,暂无数据,需提前预约,中楼层,27层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2487089485738164224,宝鸡,渭滨区,火车站,罗马花园(渭滨区),70㎡,整租,南/北,1400元/月,半年付价,1室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,26层,有,租用车位,民水,民电,有,集中供暖
BAOJI2494681603344187392,宝鸡,金台区,群众路,凌云·锦绣新城,93㎡,整租,南,1200元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2493990891267047424,宝鸡,金台区,三迪,三迪家居广场,73㎡,整租,南,1200元/月,,1室,1厅,0卫,随时入住,暂无数据,需提前预约,高楼层,16层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2502783624928034816,宝鸡,金台区,上马营,石油小区(东风路),96㎡,整租,南/北,1200元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2478743127373398016,宝鸡,渭滨区,桥南,绿城·逸水院,94㎡,整租,南/北,1450元/月,半年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
BAOJI2543279392499433472,宝鸡,金台区,三迪,轩苑公寓,52㎡,整租,北,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,27层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2490562771465543680,宝鸡,渭滨区,高新区,水木清華,40㎡,整租,南,1500元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,26层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2560077060345708544,宝鸡,渭滨区,高新区,水木清華,50㎡,整租,南,1400元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,16层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2472947081959456768,宝鸡,渭滨区,高新区,水木清華,45㎡,整租,南,1500元/月,,1室,0厅,1卫,随时入住,1年以内,需提前预约,中楼层,26层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2472208505180782592,宝鸡,金台区,三迪,三迪国际公寓,72㎡,整租,东,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,27层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2432538291266912256,宝鸡,金台区,陈仓园,陈仓园铁路住宅A区,74㎡,整租,南/北,1150元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2482406543451234304,宝鸡,渭滨区,石坝河,锌业小区,131㎡,整租,南,1400元/月,半年付价,3室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2497038787352739840,宝鸡,渭滨区,桥南,盟盛花园小区,150㎡,整租,东/西,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2498557578477305856,宝鸡,渭滨区,火车站,宝铁货场路高层住宅小区,131㎡,整租,南/北,1500元/月,,3室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,28层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2498315139460644864,宝鸡,金台区,上马营,联盟二组小区,94㎡,整租,东/北,1300元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2506552402014896128,宝鸡,金台区,上马营,李家崖村,92㎡,整租,南/北,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2510843986780880896,宝鸡,金台区,上马营,蜂业公司,140㎡,整租,南/北,1200元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2515116530254495744,宝鸡,渭滨区,火车站,嘉隆国际,87㎡,整租,南/西南/北,1500元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,22层,有,暂无数据,商水,商电,有,集中供暖
BAOJI2518048451250356224,宝鸡,金台区,大庆路,枫露兰湾,125㎡,整租,南/北,1200元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2522221637902794752,宝鸡,渭滨区,桥南,中铁一局五公司路西小区,125㎡,整租,南,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,28层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2531859548164603904,宝鸡,渭滨区,火车站,滨河花园(渭滨区),118㎡,整租,南,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,30层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2538506385260552192,宝鸡,金台区,陈仓园,陈仓园,96㎡,整租,南,1200元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2552225168294952960,宝鸡,渭滨区,高新区,阳光上东,116㎡,整租,南/北,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2556271110056853504,宝鸡,金台区,新福路,祥瑞花园,80㎡,整租,南/北,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2396825474069708800,宝鸡,渭滨区,高新区,水韵江南,105㎡,整租,北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2486955168613548032,宝鸡,渭滨区,三迪,三迪加州阳光小区,96㎡,整租,南/北,1400元/月,半年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2486358240250560512,宝鸡,金台区,群众路,中山西路49号,101㎡,整租,西,1200元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2538506385260552192,宝鸡,金台区,陈仓园,陈仓园,96㎡,整租,南,1200元/月,,3室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2549991554571829248,宝鸡,渭滨区,火车站,永嘉,84㎡,整租,南/北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2552225168294952960,宝鸡,渭滨区,高新区,阳光上东,116㎡,整租,南/北,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2486955168613548032,宝鸡,渭滨区,三迪,三迪加州阳光小区,96㎡,整租,南/北,1400元/月,半年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2494716529111728128,宝鸡,渭滨区,火车站,茂丰大厦,180㎡,整租,南/北,1500元/月,,3室,1厅,2卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2497038787352739840,宝鸡,渭滨区,桥南,盟盛花园小区,150㎡,整租,东/西,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2510843986780880896,宝鸡,金台区,上马营,蜂业公司,140㎡,整租,南/北,1200元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2556271110056853504,宝鸡,金台区,新福路,祥瑞花园,80㎡,整租,南/北,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2502904064728104960,宝鸡,渭滨区,火车站,罗马花园(渭滨区),98㎡,整租,南/北,1450元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,26层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2541961036810944512,宝鸡,渭滨区,桥南,玉泉花园南区,173㎡,整租,南/北,1500元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2530422351293071360,宝鸡,渭滨区,高新区,樸西佳苑,95㎡,整租,南,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,24层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2487467314077761536,宝鸡,金台区,大庆路,电力新苑,94㎡,整租,东,1200元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,低楼层,7层,无,租用车位,民水,民电,无,集中供暖
BAOJI2525974674697879552,宝鸡,金台区,陈仓园,陈仓园,91㎡,整租,南,1200元/月,年付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,租用车位,民水,民电,有,集中供暖
BAOJI2538212348603408384,宝鸡,渭滨区,高新区,水韵江南,62㎡,整租,南/北,1400元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,17层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2554158658972303360,宝鸡,金台区,大庆路,工农新苑,80㎡,整租,南,1200元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,33层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2529675175629430784,宝鸡,渭滨区,高新区,阳光上东,86㎡,整租,北,1400元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2544681451673092096,宝鸡,渭滨区,高新区,万润城市花园,62㎡,整租,南,1500元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,11层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2546979515365081088,宝鸡,金台区,三迪,轩苑公寓,56㎡,整租,东南,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,27层,有,暂无数据,民水,民电,无,集中供暖
BAOJI2554823722385285120,宝鸡,渭滨区,高新区,阳光上东,95㎡,整租,南,1400元/月,,2室,1厅,2卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2489636733810393088,宝鸡,金台区,三迪,三迪国际公寓,56㎡,整租,南,1200元/月,,1室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,27层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2553551961362538496,宝鸡,渭滨区,高新区,阳光上东,72㎡,整租,南/北,1400元/月,,2室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
BAOJI2558647834220445696,宝鸡,渭滨区,火车站,锦尚居,110㎡,整租,东南,1500元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,18层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2491821011604357120,宝鸡,金台区,大庆路,宝鸡供电局家属院南区,100㎡,整租,南/北,1200元/月,,3室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
BAOJI2510742990717460480,宝鸡,金台区,新福路,瑞祥花园,80㎡,整租,南/北,1300元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2528033222441304064,宝鸡,渭滨区,石坝河,宝光小区南区,94㎡,整租,南,1400元/月,半年付价,2室,2厅,1卫,随时入住,3年以内,需提前预约,中楼层,7层,无,租用车位,民水,民电,有,集中供暖
BAOJI2479593675710275584,宝鸡,金台区,上马营,桃园小区,111㎡,整租,南/北,1300元/月,,2室,2厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2501169810998558720,宝鸡,渭滨区,高新区,聚丰香树湾,102㎡,整租,南,900元/月,,3室,2厅,1卫,随时入住,1~3个月,需提前预约,中楼层,9层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2559250597924839424,宝鸡,渭滨区,石坝河,龙山花园,87㎡,整租,南,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,有,暂无数据
BAOJI2394171348898824192,宝鸡,金台区,上马营,恒基小区,103㎡,整租,南/北,1250元/月,,2室,2厅,1卫,随时入住,暂无数据,一般下班后可看,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
BAOJI2465218032893427712,宝鸡,渭滨区,火车站,鑫寳大厦,135㎡,整租,南,1500元/月,,3室,2厅,2卫,随时入住,暂无数据,需提前预约,低楼层,27层,有,暂无数据,民水,民电,有,集中供暖
BAOJI2467908183469850624,宝鸡,渭滨区,石坝河,龙山花园,90㎡,整租,南/北,1500元/月,,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,32层,无,暂无数据,暂无数据,暂无数据,有,暂无数据
BAOJI2471746443682529280,宝鸡,渭滨区,桥南,盛华大厦,75㎡,整租,南/北,1450元/月,,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,23层,有,暂无数据,民水,民电,有,集中供暖
